phase,rail,energy_mean_j,energy_std_j,duration_mean_ms,phase_label
action_head,CPU,0.566099476737648,0.10264571329065973,55.3003782,Action
action_head,GPU,1.199137216766288,0.22590546707544537,55.3003782,Action
action_head,VIN,3.2308098922742006,0.4280610300644263,55.3003782,Action
llm,CPU,0.191581285011136,0.03835403530138872,25.704028,LLM
llm,GPU,0.406204461632752,0.08701301237166266,25.704028,LLM
llm,VIN,1.0113283429428,0.21092762959372183,25.704028,LLM
vit,CPU,0.23609395597008,0.032501035451720776,26.4107484,ViT
vit,GPU,0.489394154667696,0.06067103254024978,26.4107484,ViT
vit,VIN,1.2667100006954,0.14370892349692022,26.4107484,ViT
