phase,kernel_index,kernel,label,duration_ms,l2_bandwidth_GBps,math_TOPS,tensor_TOPS,scalar_TOPS,op_class,arithmetic_intensity_ops_per_byte_L2,active_peak_TOPS
ViT full128,44,"void at::vectorized_elementwise_kernel<4, at::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,0.006144,4.901042,0.0011718978517949999,0.0,0.0011718978517949999,scalar,0.2391119790026284,4.63458304
ViT full128,45,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,0.006624,2.642512,0.01236717978056,0.0,0.01236717978056,scalar,4.680084624236333,4.0478464
ViT full128,46,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",0.12656,13.061694,2.982675058106535,0.0,2.982675058106535,scalar,228.35285056490645,8.80515584
ViT full128,47,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",0.122016,13.541831,3.0937528990657204,0.0,3.0937528990657204,scalar,228.45898010879918,9.00150272
ViT full128,52,"void at::vectorized_elementwise_kernel<2, at::<unnamed>::polar_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,0.374368,101.476536,32.265978191738604,0.0,32.265978191738604,scalar,317.9649154730568,8.67228672
ViT full128,57,"void at::vectorized_elementwise_kernel<2, at::<unnamed>::polar_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,0.381792,99.509764,31.63856175560356,0.0,31.63856175560356,scalar,317.94429494982586,8.014464
ViT full128,79,"void at::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, 0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",void at::<unnamed>::vectorized_l,0.029088,58.420242,51.09326755380659,0.0,51.09326755380659,scalar,874.5815800250638,8.47660032
ViT full128,80,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.03648,542.665789,68.554105445541,62.08673684210526,6.467368603435739,tensor,126.32840845167227,544.9278877192983
ViT full128,81,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.060608,324.685322,41.26276661042818,37.370052798310454,3.892713812117727,tensor,127.08540797673687,287.09845828933476
ViT full128,82,nvjet_sm110_tst_128x192_64x7_2x1_2cta_v_bz_bias_TNT,nvjet_attention,0.039552,500.18932,63.229514564337386,57.26446601941747,5.965048544919911,tensor,126.41116480523291,442.1186278317152
