safety_margin_ms,mean_energy_regret_j,mean_energy_regret_pct,mean_latency_regret_ms,strict_deadline_success_rate,top1_match_rate,n_groups
0,0.21283629387293446,2.5908388192800658,4.422608875000002,0.3125,0.0625,16
5,0.2627285550047784,3.2063464214811184,3.8972266250000023,0.375,0.0625,16
10,0.27580597470657187,3.474871042360075,2.3722087812500017,0.5625,0.0,16
15,0.27580597470657187,3.474871042360075,2.3722087812500017,0.5625,0.0,16
20,0.27580597470657187,3.474871042360075,2.3722087812500017,0.5625,0.0,16
