name,start_ns,end_ns,duration_ms
VLA/action_head/TensorRT_enqueue,544028408946856,544028410529354,1.582498
VLA/action_head/TensorRT,544028408718495,544028410582650,1.864155
VLA/action_head/DiT_step,544028408625578,544028410633928,2.00835
VLA/action_head/TensorRT_enqueue,544028412118842,544028414105349,1.986507
VLA/action_head/TensorRT,544028411858130,544028414156515,2.298385
VLA/action_head/DiT_step,544028411776833,544028414214988,2.438155
VLA/action_head/TensorRT_enqueue,544028415574504,544028427091564,11.51706
VLA/action_head/TensorRT,544028415371866,544028427152249,11.780383
VLA/action_head/DiT_step,544028415298755,544028427207600,11.908845
VLA/action_head/inference,544028404638445,544028427604137,22.965692
VLA/action_head,544028404144186,544028427688406,23.54422
VLA/ViT,544028461140454,544028482544888,21.404434
VLA/LLM,544028482960027,544028503928749,20.968722
VLA/backbone,544028460863926,544028504076277,43.212351
VLA/action_head/TensorRT_enqueue,544028506086173,544028507989336,1.903163
VLA/action_head/TensorRT,544028505803052,544028508065003,2.261951
VLA/action_head/DiT_step,544028505708886,544028508123327,2.414441
VLA/action_head/TensorRT_enqueue,544028509547418,544028511550388,2.00297
VLA/action_head/TensorRT,544028509304131,544028511608055,2.303924
VLA/action_head/DiT_step,544028509226622,544028511654749,2.428127
VLA/action_head/TensorRT_enqueue,544028513241793,544028515215364,1.973571
VLA/action_head/TensorRT,544028512999969,544028515269374,2.269405
VLA/action_head/DiT_step,544028512905941,544028515314679,2.408738
VLA/action_head/TensorRT_enqueue,544028516648742,544028527316756,10.668014
VLA/action_head/TensorRT,544028516437122,544028527372728,10.935606
VLA/action_head/DiT_step,544028516356965,544028527427191,11.070226
VLA/action_head/inference,544028504849887,544028527816125,22.966238
VLA/action_head,544028504346008,544028527886014,23.540006
VLA/ViT,544028561293480,544028582686257,21.392777
VLA/LLM,544028583086340,544028604512581,21.426241
VLA/backbone,544028561097165,544028604656905,43.55974
VLA/action_head/TensorRT_enqueue,544028606437375,544028608202086,1.764711
VLA/action_head/TensorRT,544028606189783,544028608284373,2.09459
VLA/action_head/DiT_step,544028606091858,544028608321447,2.229589
VLA/action_head/TensorRT_enqueue,544028609660408,544028611382212,1.721804
VLA/action_head/TensorRT,544028609453242,544028611489517,2.036275
VLA/action_head/DiT_step,544028609361622,544028611559471,2.197849
VLA/action_head/TensorRT_enqueue,544028613000330,544028614924790,1.92446
VLA/action_head/TensorRT,544028612781886,544028614982281,2.200395
VLA/action_head/DiT_step,544028612678904,544028615036059,2.357155
VLA/action_head/TensorRT_enqueue,544028616375548,544028627721098,11.34555
VLA/action_head/TensorRT,544028616187678,544028627790255,11.602577
VLA/action_head/DiT_step,544028616096234,544028627845505,11.749271
VLA/action_head/inference,544028605328728,544028628241848,22.91312
VLA/action_head,544028604883701,544028628330255,23.446554
VLA/ViT,544028661469139,544028689625186,28.156047
VLA/LLM,544028689961926,544028711364705,21.402779
VLA/backbone,544028661267565,544028711483714,50.216149
VLA/action_head/TensorRT_enqueue,544028713285952,544028714880237,1.594285
VLA/action_head/TensorRT,544028713044360,544028714927107,1.882747
