inference_id,duration_ms,data_processing_ms,vit_ms,llm_ms,backbone_ms,action_head_ms,gpu_energy_j,cpu_energy_j,vin_energy_j
1,143.315746,35.984573,23.440959,23.005813,52.440985,54.769373,3.7259119382945602,1.7514472028861603,8.286912327126
2,142.508582,30.043007,26.212993,24.968967,57.169073,55.199168,3.51504397478768,1.66126403074904,8.726303268209
3,150.480343,32.127411,28.26049,27.756382,62.273141,55.922429,3.7548231969956003,1.7805040127793599,8.738365299469999
4,140.667274,29.410092,25.437338,24.155849,56.191114,54.916253,3.0759214197744003,1.47695826298856,8.000943685067
5,153.360354,33.478872,28.701962,28.633129,64.055796,55.694668,3.6470806158638402,1.7714502832023198,8.737031608492
