ts_ns,gpu_power_w,cpu_power_w,vin_power_w,gpu_cur_freq_hz,cpu0_khz,cpu4_khz,gpu_gpc0_hz,gpu_gpc1_hz,gpu_gpc2_hz,gpu_sys_hz,gpu_nvd_hz,emc_rate_hz
544028961226157,28.31616,13.37696,30.072,1575000000,1134000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028969990961,27.5296,12.98352,28.758,1575000000,864000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028980222133,27.13632,12.98352,28.656,1575000000,1026000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544028992108858,26.34976,12.98352,28.904,1575000000,918000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029006807348,26.36048,12.59008,73.282,1575000000,972000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029017561509,26.34976,12.59008,69.964,1575000000,1080000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029026001313,26.75392,12.59008,71.476,1575000000,1188000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029033443100,26.75392,12.59008,56.004,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029042549773,26.75392,12.59008,65.598,1575000000,1404000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029050510688,27.14736,12.59008,60.58,1575000000,1566000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029060457934,27.14736,12.58496,91.182,1575000000,1512000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029071684670,27.5408,12.97824,88.466,1575000000,1566000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029085273615,27.5408,12.97824,77.086,1575000000,1782000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029100313141,27.93424,12.97824,74.596,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029110212572,27.93424,12.98352,68.268,1575000000,1134000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029121589558,27.14736,12.98352,27.756,1575000000,918000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029133561384,26.36048,12.59008,29.262,1575000000,1080000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029148288208,25.96704,12.59008,28.592,1575000000,972000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029162215051,25.5736,12.59008,61.354,1575000000,1026000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029171450937,25.96704,12.59008,64.602,1575000000,1134000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029181290701,26.3712,12.59008,63.738,1575000000,1242000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029191096234,25.9776,12.19664,56.24,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029200663362,26.3712,12.19664,52.31,1575000000,1404000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029210682534,26.3712,12.19664,95.068,1575000000,1566000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029225242423,26.3712,12.59008,71.412,1575000000,1566000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029239425117,26.7648,12.59008,74.07,1575000000,1674000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029251622555,26.7648,12.59008,75.09,1575000000,1458000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029262378107,27.1584,12.59008,71.654,1575000000,1188000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029275975349,26.7648,12.59008,29.058,1575000000,918000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029287231899,25.9776,12.59008,28.486,1575000000,1188000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029303318971,25.584,12.19664,29.954,1575000000,972000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029316565103,25.1904,12.19664,36.846,1575000000,918000,1620000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029325753850,25.1904,12.19664,68.964,1575000000,1134000,1404000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029335503143,25.18016,12.19664,68.112,1575000000,1134000,1404000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029344032197,25.18016,12.19664,71.65,1575000000,1242000,972000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029351878326,25.5736,12.19664,67.636,1575000000,1350000,972000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029359629112,25.5736,12.19664,62.206,1575000000,1458000,702000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029367395306,25.96704,12.19664,90.934,1575000000,1512000,702000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029377492997,25.96704,12.59008,73.534,1575000000,1566000,540000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029392505070,25.96704,12.59008,71.316,1575000000,1674000,432000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029401767346,26.36048,12.59008,72.514,1575000000,1566000,432000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029413303581,26.36048,12.59008,87.522,1575000000,1242000,432000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029422790402,26.75392,12.59008,51.002,1575000000,1080000,216000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029432612742,25.96704,12.59008,28.162,1575000000,918000,216000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029443249626,25.18016,12.2016,28.712,1575000000,1026000,162000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029461631222,24.39328,12.2016,30.324,1575000000,1188000,162000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029478501431,24.39328,12.2016,64.922,1575000000,1242000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029490639074,24.7968,12.2016,67.822,1575000000,1134000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029501659975,25.1904,12.2016,45.466,1575000000,1242000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029512638535,25.18016,12.2016,63.824,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029523937057,25.18016,12.2016,57.832,1575000000,1350000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029536449013,25.5736,12.2016,72.412,1575000000,1404000,1242000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029552917408,25.5736,12.19664,73.342,1575000000,1566000,108000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029565979234,25.96704,12.19664,84.504,1575000000,1458000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029576931256,25.96704,12.59008,91.898,1575000000,1188000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029587918158,25.96704,12.59008,28.636,1575000000,972000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029602099140,25.18016,12.2016,27.67,1575000000,756000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029616938462,24.7968,12.2016,27.918,1575000000,594000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029630725796,24.0096,11.808,27.744,1575000000,432000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029648468939,23.2224,11.808,27.348,1575000000,324000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029672553899,22.0416,11.4144,27.766,1575000000,216000,54000,1575000000,1575000000,1575000000,1575000000,315000000,4266000000
544029714893482,20.8608,11.02528,27.136,1575000000,216000,54000,54000000,54000000,54000000,1575000000,315000000,4266000000
