mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
cpu,648MHz,648MHz,1,1.05725,3.339686,17.491026,"{'policy0': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy10': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy12': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy2': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy4': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy6': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy8': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}}"
cpu,648MHz,972MHz,1,1.358593,3.538363,16.939517,"{'policy0': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy10': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy12': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy2': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy4': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy6': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy8': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}}"
cpu,648MHz,1.242GHz,1,0.910639,8.980467,21.514908,"{'policy0': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy10': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy12': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy2': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy4': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy6': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy8': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}}"
cpu,648MHz,1.566GHz,1,0.946936,9.900912,22.13227,"{'policy0': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy10': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy12': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy2': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy4': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy6': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy8': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}}"
cpu,648MHz,1.836GHz,1,1.112279,9.086634,21.111639,"{'policy0': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy10': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy12': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy2': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy4': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy6': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy8': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}}"
cpu,648MHz,2.160GHz,1,1.036759,11.317301,23.270909,"{'policy0': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy10': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy12': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy2': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy4': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy6': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy8': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}}"
cpu,648MHz,2.430GHz,1,1.137972,2.265186,14.607627,"{'policy0': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy10': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy12': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy2': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy4': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy6': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy8': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}}"
cpu,648MHz,2.601GHz,1,1.127037,2.764093,15.276488,"{'policy0': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy10': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy12': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy2': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy4': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy6': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy8': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}}"
cpu,972MHz,default,1,1.28349,21.304184,50.762068,"{'policy0': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 270000}, 'policy10': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 378000}, 'policy12': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 1890000}, 'policy2': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy4': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy6': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy8': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}}"
cpu,972MHz,648MHz,1,1.511427,3.850493,18.093573,"{'policy0': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy10': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy12': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy2': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy4': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy6': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy8': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}}"
