axis,from_label,to_label,success,write_total_ms,per_write_sum_ms,write_op_count,feedback_ms,post_write_to_first_match_ms,stable_extra_ms,usable_stable_ms,poll_count,read_total_ms,read_mean_per_poll_ms,last_status_json
gpu,1.305GHz,504MHz,1,89.797557,89.751668,6,98.203687,8.40613,7.165138,105.368825,2,14.444259,7.2221295,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 504000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 504000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 504000000}"
gpu,1.305GHz,702MHz,1,89.056677,89.02489,6,92.599583,3.542906,4.160935,96.760518,2,6.56623,3.283115,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 702000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 702000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 702000000}"
gpu,1.305GHz,900MHz,1,90.334008,90.240296,6,100.924488,10.59048,8.784157,109.708645,2,18.024424,9.012212,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 900000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 900000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 900000000}"
gpu,1.305GHz,1.107GHz,1,87.307262,87.197078,6,97.841548,10.534286,8.631203,106.472751,2,17.824945,8.9124725,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 1107000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 1107000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 1107000000}"
gpu,1.305GHz,1.503GHz,1,90.483544,90.381915,6,98.959506,8.475962,8.595148,107.554654,2,15.825313,7.9126565,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 1503000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 1503000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 1503000000}"
gpu,1.503GHz,504MHz,1,91.076465,91.03614,6,94.424576,3.348111,3.81524,98.239816,2,6.008941,3.0044705,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 504000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 504000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 504000000}"
gpu,1.503GHz,702MHz,1,88.582898,88.540937,6,97.113341,8.530443,9.909499,107.02284,2,17.248061,8.6240305,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 702000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 702000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 702000000}"
gpu,1.503GHz,900MHz,1,92.515083,92.391537,6,100.947305,8.432222,8.456592,109.403897,2,15.668645999999999,7.8343229999999995,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 900000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 900000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 900000000}"
gpu,1.503GHz,1.107GHz,1,88.441233,88.327437,6,98.467769,10.026536,8.851906,107.319675,2,17.541635,8.7708175,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 1107000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 1107000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 1107000000}"
gpu,1.503GHz,1.305GHz,1,92.254397,92.145871,6,100.951554,8.697157,8.69836,109.649914,2,16.141563,8.0707815,"{""gpu_cur_freq_hz"": 1575000000, ""gpu_gpc0_mrq_rate_locked"": 1, ""gpu_gpc0_rate_hz"": 1305000000, ""gpu_gpc1_mrq_rate_locked"": 1, ""gpu_gpc1_rate_hz"": 1305000000, ""gpu_gpc2_mrq_rate_locked"": 1, ""gpu_gpc2_rate_hz"": 1305000000}"
