config_name,cpu_label,gpu_label,emc_label,mode,view_label,view_keys,num_views,denoising_steps,text_length_target,text_label,image_h,image_w,image_label,actual_text_chars,actual_text_words,duration_s_mean,duration_s_std,gpu_power_mean_w_mean,gpu_power_mean_w_std,cpu_soc_mss_power_mean_w_mean,cpu_soc_mss_power_mean_w_std,vin_power_mean_w_mean,vin_power_mean_w_std,gpu_energy_j_mean,gpu_energy_j_std,cpu_soc_mss_energy_j_mean,cpu_soc_mss_energy_j_std,vin_energy_j_mean,vin_energy_j_std,telemetry_samples_mean,telemetry_samples_std,data_processing_median_ms_mean,data_processing_median_ms_std,data_processing_mean_ms_mean,data_processing_mean_ms_std,data_processing_std_ms_mean,data_processing_std_ms_std,data_processing_min_ms_mean,data_processing_min_ms_std,data_processing_max_ms_mean,data_processing_max_ms_std,backbone_median_ms_mean,backbone_median_ms_std,backbone_mean_ms_mean,backbone_mean_ms_std,backbone_std_ms_mean,backbone_std_ms_std,backbone_min_ms_mean,backbone_min_ms_std,backbone_max_ms_mean,backbone_max_ms_std,action_head_median_ms_mean,action_head_median_ms_std,action_head_mean_ms_mean,action_head_mean_ms_std,action_head_std_ms_mean,action_head_std_ms_std,action_head_min_ms_mean,action_head_min_ms_std,action_head_max_ms_mean,action_head_max_ms_std,e2e_median_ms_mean,e2e_median_ms_std,e2e_mean_ms_mean,e2e_mean_ms_std,e2e_std_ms_mean,e2e_std_ms_std,e2e_min_ms_mean,e2e_min_ms_std,e2e_max_ms_mean,e2e_max_ms_std
all_default,default,default,default,tensorrt,both_views,"image,wrist_image",2,1,64,64_words,-1,-1,orig,357,64,2.735843163666667,0.07643116982379948,26.323506300346523,0.9020980534834958,12.608270676445619,0.36700243727426696,10.885773531564764,0.3200827747893611,71.97264748509457,0.27623167293447126,34.46714665648628,0.20893977320481766,29.771325757497408,0.165841919598163,597.6666666666666,10.503967504392472,10.146811666345457,0.8929331832176262,10.431689216420637,0.27678561716605954,1.6363103794863214,0.3443173359301762,8.137264332617633,0.0551944288354697,13.387232664778518,1.1920007005668833,48.29210500126161,1.9237534085175667,49.28717524987102,1.3475704789678644,4.185115007756912,0.4224470749188205,44.38631533412263,0.8458366892020709,61.576307334083445,4.577077107375593,14.504140000402307,0.13449812841113412,14.583750465802344,0.06301930362089786,0.3446917304223092,0.08494353065263364,14.083341001726998,0.07904626773521989,15.386240331281442,0.20664353067554503,73.46410432971122,2.304888264033521,74.302614932094,1.6018336826683903,4.308367302103831,0.41556539711260365,69.53643499825073,0.6315075253585133,87.20764066432214,3.892380555075158
all_default,default,default,default,tensorrt,both_views,"image,wrist_image",2,2,64,64_words,-1,-1,orig,357,64,3.0965030726666662,0.011839133932029261,27.185284118004528,0.10525719905243186,13.028610249186782,0.11095051027884724,11.491739546585043,0.02000428348616014,84.08852492528698,0.5466482887917635,40.30846912824682,0.43119908359939546,35.57164795296046,0.0867081120022817,670.6666666666666,14.843629385474866,9.945668164922003,0.9749284330599158,10.09752598280708,0.42946907544635027,1.4656961832406,0.5432487252762072,8.228113998484332,0.1848323954475057,12.80768866854487,1.2344307726692958,47.80800266720083,0.9497937257519756,48.99187919957816,1.050425833940362,3.6713561105783152,0.761694943602375,44.869535330993436,0.2303499110455971,59.601789333100896,2.4748467305652415,28.005891166685615,0.09391497055565028,27.9955892170013,0.075528635303847,0.34824751832584444,0.0751866754057106,27.406362334052876,0.043578140097303944,28.621137666050345,0.1449151519875279,86.27880300021691,0.7335618396236389,87.08499439938653,0.7070835359811777,4.320856351841126,0.49635375870006876,81.8597706699317,1.340236530976835,99.42727299494436,1.996801644448074
all_default,default,default,default,tensorrt,both_views,"image,wrist_image",2,4,64,64_words,-1,-1,orig,357,64,4.172423776666666,0.26786207978560905,27.1618751094362,1.1557545237962943,13.389727224842138,0.4323604214886265,12.082422908996849,0.33292756211133995,112.88945507396295,2.8203645680486003,55.67834599130876,1.9533389947576778,50.30187226445432,1.8631880174077236,888.6666666666666,25.54081700598735,11.041339167907912,1.294399308329254,11.300309383295826,1.4576632239145078,2.1137370569291734,0.750484745408801,8.050171001135217,0.4222302687103998,15.956829998079533,2.6081282753593933,50.17468433288741,3.043685463843816,56.770735750008804,7.06166278007826,12.934511116362879,8.670769673279967,45.328364666299116,0.4086193766974167,87.55673733442866,29.797478411097423,54.81522900178485,0.30242204145674384,54.94376213343154,0.277323385253903,0.771423417997528,0.20699799137675967,53.79713033471489,0.04420684051868578,57.14754433332322,0.7382358814963839,117.91095966570235,5.626825791714079,123.01480726673617,8.68663538740792,14.020563578037924,9.490607577689568,109.81121966809344,1.4278678165126946,156.23882966368305,32.0349079090892
all_default,default,default,default,tensorrt,both_views,"image,wrist_image",2,8,64,64_words,-1,-1,orig,357,64,5.5615304336666656,0.19363641319701697,29.65371734781719,0.5729545792970411,14.814473061848924,0.2766788446984827,13.451297628396796,0.17596125477889785,164.49949821883624,2.555974609687966,82.26978101623905,1.3343541430107677,74.71803450065819,1.6443266752892762,1236.3333333333333,45.50091574170058,11.751410165743437,1.471860677461356,11.823284433679268,1.2467432860059953,1.5734891187917448,0.6592411903478692,9.40165133215487,0.4401158166596699,14.620868666194534,2.501800862412737,49.61015783434656,3.878665648822975,50.534431183405104,4.010486378635057,3.701325983539173,1.0210621365836292,45.62139699798232,1.7341622487170603,59.80029333538065,7.610367205992181,107.58955716664786,0.2734169920920565,107.67268205030025,0.34965329661355565,0.9327006385491785,0.23921448593749964,106.2543083341249,0.32349879814358024,109.80734333376556,0.7733968325469515,169.0514923344987,5.189358563749682,170.03039766738462,5.557089389107634,3.96829315254411,0.7796957463584229,164.1899170014464,4.476330935472364,180.83393000172995,9.783063126349607
all_default,default,default,default,tensorrt,image_only,image,1,1,64,64_words,-1,-1,orig,357,64,2.698514934,0.38101861080859084,20.314604570935202,2.539593136677146,11.646193472703862,0.8538096533631971,10.729454383944377,0.7374926501620613,54.190435329526,1.4132391535076578,31.184721544434368,2.0174128136246687,28.770282059392997,2.0270276163735277,586.6666666666666,66.5006265634643,7.061341331185152,1.0428919516670085,6.959833283326589,0.9221218231656072,1.021294112182381,0.3688947732906038,5.463888332693993,0.6651499261735018,8.422516334879523,1.3752438006524108,53.8544526680198,4.538473297536068,54.082801532907375,4.270612033891275,5.037060775739357,3.6760615658624474,47.39441166505761,2.3044858869903355,65.69151233270532,12.713866826185692,15.180366665542047,1.3146076781486744,15.070925100129292,1.0488697030257688,0.6551469790007438,0.5902089345365947,13.94130966703718,0.2421299090668024,16.20974133402342,1.5120927470685674,76.66477916548804,5.432195681779514,76.11355991636326,5.309954690527502,5.8540903887016675,4.026613339837621,67.09982033013755,2.9233271649261448,88.54881333051405,14.199067487336297
all_default,default,default,default,tensorrt,image_only,image,1,2,64,64_words,-1,-1,orig,357,64,3.0542980563333337,0.180660575548349,22.144356138776924,0.5758035416476983,12.177366243868192,0.19042548685253036,11.474235769884347,0.16321163642474967,67.61622030656507,2.1086957663881525,37.16748953107326,1.5857961840911365,35.03906725396289,1.5302341954712024,639.6666666666666,42.73562136360407,7.019651831797091,1.3226118192590104,7.139083632985906,1.4064738879644754,0.9570162429025718,0.33655609746456555,5.571833668606511,0.8567692450525203,8.795045997734027,1.7972882052215735,54.08467983337081,4.335169743555103,56.372134249977535,4.263376107741713,6.6232224097505465,2.371345006643419,48.676003001067635,0.6582371321975495,69.19627666745025,6.495984260984026,27.892420833571425,0.316269262226902,27.929225700184663,0.278444680415694,0.47144868221225383,0.08593096930765307,27.073391334852204,0.19747685925924216,28.79441933328053,0.3564145304122098,89.48963649891084,7.259778640783223,91.44044358314811,5.6563978130069374,6.903915521328844,2.4289723798650917,83.57973099919036,2.8088868452611764,104.29124499690563,7.551353818958083
all_default,default,default,default,tensorrt,image_only,image,1,4,64,64_words,-1,-1,orig,357,64,3.850515898333333,0.23154482960099482,24.546004855888185,0.6975175463529362,13.210937891806482,0.21614257999707026,12.518850122809917,0.26101125250563106,94.0107242120168,3.388900091138707,50.67013070566392,2.3939296380160635,48.040004296793846,2.0329897815711133,811.6666666666666,27.024680078279065,6.429185500261762,0.466308944709044,6.5730753496609395,0.47600592770222105,1.008400826581633,0.30649891957518116,5.220165333109132,0.27034509808356944,8.690384667715989,1.1399880888026384,54.2881731671514,6.721536419380387,58.75353961722188,6.6093552159610445,11.311956579164749,7.504362812839806,47.51641000135957,1.63644921318809,86.64952133403858,25.561135486803465,54.297378332800385,0.48901931019786427,54.49625758265029,0.5357722641085176,0.8474663551492455,0.2984361916597886,53.454994330725945,0.3198538731086957,56.76154866766107,1.5420172161611598,115.27999033084295,7.406989545298561,119.8228725495331,7.310038325910309,11.616433108212588,7.466623115720415,107.4901573350265,2.9415854556638847,148.4167793363061,26.000142726172864
all_default,default,default,default,tensorrt,image_only,image,1,8,64,64_words,-1,-1,orig,357,64,5.358132209,0.11778059521617436,27.02074566981372,0.3167127833850886,14.491014205831915,0.21989269731338473,13.597456743689266,0.12754660303467025,144.8017696357049,1.9229507641402228,77.6322923845019,0.6960206492118661,72.85913608516663,1.0046591260413793,1098.3333333333333,31.069813860616094,6.417765331813523,1.0809288398674148,6.751899249987521,1.3770509745317205,1.088088429070682,0.6230170740931118,5.2659590025238385,0.7324002540889389,9.213236999736788,2.7159951343247837,55.986477331316564,3.0699842047575427,57.076326083309446,3.280605501194191,7.320512631398624,1.866820379150663,48.301817000416726,1.4227043371456778,80.71451833287331,9.55298153513827,106.95465783404264,0.2869568550261886,107.02358394992189,0.11753421805128984,0.758494249321385,0.1976724992164946,105.93470166592549,0.3402135085260323,108.84024700014076,0.8413431935635972,169.4334035006856,4.555974738895071,170.85180928321884,4.492619335161164,7.833526568514799,1.8580913261281835,161.0340300006404,2.2928128953924802,196.0580739978468,10.369682950221684
cpu_1.836GHz_gpu_1.107GHz_emc_2.75GHz,1.836GHz,1.107GHz,2.750GHz,tensorrt,both_views,"image,wrist_image",2,1,64,64_words,-1,-1,orig,357,64,2.800896402,0.03518030302193607,24.679698152780606,0.055571224795956393,12.316299180523508,0.03978632097212559,10.879900999375543,0.13254839961315387,68.93525431923022,0.7239440805055849,34.474987525344574,0.5183417393986803,30.436629172815042,0.7331493746341188,688.0,7.211102550927978,10.781487166241277,1.4901080833854106,10.658547933902204,0.6679831811680514,1.9019373724856392,0.13276270828689002,8.074227669567335,0.05673455994303958,12.700948667770717,0.0891930601949225,55.0971633347217,0.16091763543644216,55.3345629665273,0.2535662925480623,0.6241892954963975,0.09240665172276392,54.756959000466544,0.11229213653235436,57.19616133380138,0.2807831523882659,19.1787179998452,0.05024618463286886,19.193044849695678,0.05401145949548761,0.20340726948988433,0.10174639556797856,18.857470335206017,0.04436783908971727,19.7795759983516,0.48696538092469943,85.21925650105307,1.4939486684030876,85.18615575012518,0.9488698138581378,1.9838685484045129,0.17844889029494457,82.17212666446964,0.3280442017236709,88.08435532894994,1.2525986887710392
cpu_1.836GHz_gpu_1.107GHz_emc_2.75GHz,1.836GHz,1.107GHz,2.750GHz,tensorrt,both_views,"image,wrist_image",2,2,64,64_words,-1,-1,orig,357,64,3.433609007,0.03795242116486369,24.311799897259856,0.15026636498332446,12.544112750457643,0.021330993957652443,11.226023891737762,0.04323023931315679,83.27762462703447,0.7349323810160787,43.05062962373925,0.4464442862672857,38.50313866972735,0.4274780173536645,855.0,12.529964086141668,10.100904833961977,2.3679307622231063,10.73540039966853,1.747432874152415,1.4443812770102713,0.5449842688772938,8.773790332876766,0.6202942756791837,13.331780666097378,0.48113839948123627,56.1171445006039,0.5490382806083525,56.446747300530355,0.5684487240761825,1.1725801229398936,0.29550447139330543,55.308465998678,0.1165180080209616,60.40576099864362,1.597873231893709,37.599184001010144,0.025400150556083297,37.68453898373991,0.057782425461863574,0.2955417863743916,0.12803735804918093,37.33725700294599,0.03535644911127861,38.59061633071784,0.6404221457672826,104.3566585018804,1.5175549195306937,104.8666866839388,1.2968145696811828,1.6819259370250583,0.30685262723385,102.17743900041872,0.5475831121694978,108.50268466310808,1.7030013606643657
