config_name,cpu_label,gpu_label,emc_label,mode,view_label,view_keys,num_views,denoising_steps,text_length_target,text_label,image_h,image_w,image_label,actual_text_chars,actual_text_words,duration_s_mean,duration_s_std,gpu_power_mean_w_mean,gpu_power_mean_w_std,cpu_soc_mss_power_mean_w_mean,cpu_soc_mss_power_mean_w_std,vin_power_mean_w_mean,vin_power_mean_w_std,gpu_energy_j_mean,gpu_energy_j_std,cpu_soc_mss_energy_j_mean,cpu_soc_mss_energy_j_std,vin_energy_j_mean,vin_energy_j_std,telemetry_samples_mean,telemetry_samples_std,data_processing_median_ms_mean,data_processing_median_ms_std,data_processing_mean_ms_mean,data_processing_mean_ms_std,data_processing_std_ms_mean,data_processing_std_ms_std,data_processing_min_ms_mean,data_processing_min_ms_std,data_processing_max_ms_mean,data_processing_max_ms_std,backbone_median_ms_mean,backbone_median_ms_std,backbone_mean_ms_mean,backbone_mean_ms_std,backbone_std_ms_mean,backbone_std_ms_std,backbone_min_ms_mean,backbone_min_ms_std,backbone_max_ms_mean,backbone_max_ms_std,action_head_median_ms_mean,action_head_median_ms_std,action_head_mean_ms_mean,action_head_mean_ms_std,action_head_std_ms_mean,action_head_std_ms_std,action_head_min_ms_mean,action_head_min_ms_std,action_head_max_ms_mean,action_head_max_ms_std,e2e_median_ms_mean,e2e_median_ms_std,e2e_mean_ms_mean,e2e_mean_ms_std,e2e_std_ms_mean,e2e_std_ms_std,e2e_min_ms_mean,e2e_min_ms_std,e2e_max_ms_mean,e2e_max_ms_std,_score,selection_metric,default_e2e_median_ms_mean,default_vin_energy_j_mean,latency_gain_pct,energy_gain_pct,tradeoff_score,default_tradeoff_score,tradeoff_gain_pct
cpu_2.376GHz_gpu_1.575GHz_emc_4.266GHz,2.376GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,1,128,128_words,-1,-1,orig,741,128,2.039542298666667,0.006669274758513226,36.186940168284785,0.30605503965268266,16.75722314065223,0.10208942387405695,12.737068700024894,0.03609533547169438,73.64818932172234,0.7525324723549197,34.16353878853894,0.14052024318408804,25.953099507259054,0.1340579066446679,516.6666666666666,2.8867513459481207,8.203043666677937,1.6202637457861409,8.422130983429573,1.4520557912816026,0.9275461871307208,0.8345013833102475,7.597637333674356,1.8890970532029865,10.118712666250454,0.23895250215590985,39.76778916694457,0.07130429198946708,39.80119783300324,0.08229439194982405,0.28355217173001585,0.17521803310334597,39.47113733253597,0.028705029781010485,40.73238866597725,0.8437868404320525,12.30267350062301,0.03769023528028749,12.297984067117795,0.03664964360970353,0.10991205832007722,0.03621556261333131,12.104665001970716,0.05770707141354531,12.519862000772264,0.0845094838858721,60.38520416647467,1.6168557577578608,60.521312883550614,1.4707942534954814,1.0491052952808204,0.6195721287919514,59.47725099880093,1.7955932569656623,62.753940670518205,0.920433404646885,60.38520416647467,best_latency,77.7814054990813,31.322439969695434,22.36550139584724,17.14215261528551,1567.1832124986713,2436.3034045035124,35.6737256286828
cpu_2.484GHz_gpu_1.575GHz_emc_4.266GHz,2.484GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,2,128,128_words,-1,-1,orig,741,128,2.40780226,0.023316634923595116,35.79996638756488,0.1494837065387266,17.022952039821377,0.053242041554550576,13.251767685556862,0.037873361882176146,85.93691535154545,0.5314181494457342,40.967389084799585,0.5092752855044923,31.85983642165974,0.23937492897234675,615.6666666666666,6.1101009266077995,9.528547666074397,0.07799501951512822,9.59285561705959,0.14371716474510257,0.2521892963631378,0.2664191499001538,9.373895668735107,0.018328648964179555,10.563026667417338,1.3036028944399456,39.6823111671741,0.09761511488359076,39.78092646708925,0.05771911680708432,0.4087671611211867,0.06328918631867596,39.20532533326574,0.11596937163204177,40.687260666648704,0.19397015561120687,23.909058168404346,0.027299968065453484,23.928774066977592,0.06890498912598053,0.24626907088552544,0.016639943940874605,23.56961833478029,0.1048961576435616,24.465837333991658,0.18298655875306727,73.2734991676504,0.2807622095188943,73.30255615112644,0.2236013422759908,0.6017560880613049,0.10962888625475392,72.38052633571594,0.2606957163712859,74.67540867219213,0.4094940612117807,73.2734991676504,best_latency,93.80246933293772,38.18332313349698,21.88531955637845,16.560860063774413,2334.481697523963,3581.6899972595015,34.82178247391117
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,4,128,128_words,-1,-1,orig,741,128,3.1099044616666665,0.025603909110430565,36.33394565373478,0.2294998514220539,18.093361376607334,0.08292466690159013,14.248543565042441,0.03869316224790875,112.73412721407534,0.292245685360106,56.25084777019175,0.660665342691891,44.26154949957343,0.28436493063083834,807.6666666666666,5.686240703077343,9.417215168165663,0.16275246143346467,9.457416617199973,0.11936735984142895,0.1798400034216813,0.0949675893647753,9.217790667510902,0.10319239292583486,9.93792700076786,0.3006822155834479,39.476702666433994,0.36938038867873374,39.74345971691946,0.5142536500676911,0.5854382497527072,0.1890965748643093,39.122011667738356,0.4311783921799342,41.09576000337256,0.9537717008674997,46.97808100051285,0.06886779254233726,47.06871751647365,0.04173688818436671,0.24281665436022282,0.03441717012184998,46.75442766650425,0.07162385208543733,47.682190333337836,0.12169109609494981,96.17459216193917,0.662697452835257,96.26959385059308,0.6503291024380463,0.736938697642686,0.21860190428810977,95.35520399852733,0.3797787675358465,98.00424966670107,1.0571085927398767,96.17459216193917,best_latency,107.11555733329685,48.5918085748687,10.214170045639746,8.911500111429994,4256.836471576958,5204.938657329933,18.215434382070896
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,8,128,128_words,-1,-1,orig,741,128,4.461676255,0.031037707860917526,37.281749865187045,0.09073172329053132,18.840415915076026,0.03672905526459226,15.358297162078982,0.005355990603533471,165.93489218424872,1.1333127246479098,84.01521625375253,0.6554821095344098,68.43238066055272,0.4382201422032658,1177.6666666666667,4.041451884327364,8.573775332479272,1.7180045555679972,8.7784380329443,1.11532996074248,0.831156935561774,0.5903751872766457,7.292589999754758,1.564434007488535,9.758439002325758,0.10554132496047364,39.54231816654404,0.15122191873292418,39.62462918328432,0.07562283636222686,0.410498649644407,0.05305718515325459,39.104128331625056,0.21217179013546167,40.71187766870329,0.1845438545463027,92.96030283197372,0.3261574553509808,93.08017003337834,0.24629077054613402,0.37247990603096365,0.03434803851175687,92.6403776660057,0.26839725828808475,94.17063600024751,0.34341784158244704,141.34634200066407,1.4408674966866208,141.48323724960696,1.092931481865289,1.1777882603019478,0.40977299792683614,139.52524766743105,1.7737014201491919,144.35832967137685,0.22915862538905826,141.34634200066407,best_latency,149.08101666636261,71.18573984909374,5.1882357919576325,3.8678521771043513,9672.666680766115,10612.442468850097,8.855414678029444
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,1,256,256_words,-1,-1,orig,1509,256,2.2499068553333337,0.05149644954808217,37.59639587688388,0.5979585847359992,17.128752151991524,0.045101148262464745,12.862100583320052,0.08765837622760596,84.32990165061894,0.7829226665379295,38.528794163161194,0.9865373924444641,28.898672182076933,0.5080934104701514,573.6666666666666,12.503332889007353,8.850319164290946,2.0549802248129163,9.072523533298712,1.7485064974276616,0.5783703279841393,0.558502884243667,8.548153998466054,1.942474168147086,10.5814080015989,1.3955059852717275,45.66133899910104,0.0707263600808403,45.71113896599854,0.11554640172897054,0.29736570053434636,0.1516501845179435,45.18840533516292,0.10888446636284731,46.37210066721309,0.40964903854452095,12.66839283319617,0.027884031239965676,12.658025816684434,0.006627629533037604,0.09627486484500151,0.01447206023382342,12.476766334051112,0.021171378195729132,12.88879066608691,0.04167779634141555,67.29178049863549,1.8826312871657966,67.4416883159817,1.6363960094329644,0.5954361695301543,0.389174556430187,66.5272163314512,1.826554405629711,68.90858299690687,1.374047911371167,67.29178049863549,best_latency,86.35249816658568,35.22949908701502,22.07315141153123,17.97024388368758,1944.6431051783445,3042.1552553211964,36.07679615375102
cpu_2.484GHz_gpu_1.575GHz_emc_4.266GHz,2.484GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,2,256,256_words,-1,-1,orig,1509,256,2.66372944,0.015912664882772133,37.36617492069231,0.1934162465035876,17.14303918376631,0.07344142976227246,13.425277222294255,0.022913224078000005,99.20507668994021,0.3871609466281788,45.63890664854532,0.14753255318448125,35.70097069807092,0.20605906257240247,682.3333333333334,3.51188458428426,9.816645500298668,0.03450051871808036,9.836057215822317,0.03125166323276443,0.0699410212370674,0.006262982224298605,9.721345333673524,0.0355771065222613,9.986284996557515,0.0281010711777916,45.96156066569771,0.059819738089052575,46.0788926671133,0.035549584445515967,0.5944895433595693,0.07720996586828557,45.38501700153574,0.09530462554880381,47.56381400026536,0.672187387524061,24.647991166906042,0.056324155014399545,24.65657666628734,0.06095898326148292,0.17477532055203804,0.03952275234388587,24.370507334727638,0.03915493368732757,25.04879532837852,0.07593061332975555,80.51014900047448,0.1320868569042002,80.57152654922295,0.007251910208729886,0.6457937976413651,0.16012154126510747,79.61851800306856,0.14312592156018708,82.04705666624552,0.646371846861353,80.51014900047448,best_latency,105.89828566601985,43.42758442593729,23.974077111705114,17.791949126352105,2874.290470363263,4598.906741323101,37.50057063483022
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,4,256,256_words,-1,-1,orig,1509,256,3.3595890276666664,0.012121617045453552,37.83521032088982,0.12907782239011764,18.094435192033114,0.017037129747178695,14.345242664045363,0.021183320707597368,126.74229448199084,0.14648980463967437,60.76215920160721,0.1808389285882732,48.12092391769073,0.08971144937148336,874.3333333333334,2.516611478423568,9.670148334407713,0.05883323747757629,9.75488315076897,0.02758423886930974,0.33736155930878237,0.19008866736104071,9.425600668085584,0.14188035771962626,10.88745699962601,0.6184835005144922,45.61504883410331,0.1029092407356821,45.692191116662194,0.12454715534963491,0.5943446815700589,0.29510447156052394,45.05564799910644,0.032904774966607306,47.50366133036247,1.5700294775338401,48.48494066633672,0.059396877777936626,48.51049128240751,0.07365675060603272,0.18905758900251338,0.05405814081383097,48.214759665521946,0.06308975963754992,48.99542999919504,0.3597613211693622,103.83730800094781,0.1723521422502314,103.95756554983866,0.18432420600896185,0.7956544019802486,0.3361863409288961,102.97517200524453,0.06543241948391873,106.41393732657889,1.661689581059252,103.83730800094781,best_latency,121.45125249965834,53.40518431991603,14.502892424892922,9.894658111412372,4996.747198131429,6486.126525628916,22.96253891459621
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,8,256,256_words,-1,-1,orig,1509,256,4.7504413623333335,0.030477698450877957,38.494937861150056,0.17688943792651113,18.833313899235222,0.022632535052746015,15.366492005087757,0.03153018515057691,182.48116016350642,0.6449550221643817,89.43847409337316,0.6489405164811632,72.91660215325,0.4055703633011743,1256.0,8.54400374531753,9.617455666254196,0.0382790193417066,9.21834021670899,0.5385739605673987,0.8551018007344542,0.83809179245733,7.370772669673897,1.7508675985165034,10.092505333886947,0.5675888706505987,45.399746333714575,0.09500192844164235,45.558275183066144,0.09169184791699406,0.4470471379617578,0.1636707628511562,45.00870533471849,0.02813120791219971,46.65868033286339,0.541401189383229,95.76297500098008,0.46712429975916103,95.92962363288582,0.46084702450514753,0.3791883033089581,0.026702600011873384,95.47956966707716,0.5250349571292224,96.6620756686704,0.6423455077317931,150.9853956680066,0.4806664122289099,150.70623903266096,0.9870721451843758,1.2090885420260866,0.7472631973106788,148.72911467197505,1.9195365180328474,152.72980833348507,0.6529646996219564,150.9853956680066,best_latency,160.30719933284368,76.08260172978406,5.814962586603709,4.161266182482123,11009.342026875072,12196.58880125785,9.734252697445502
cpu_2.601GHz_gpu_1.503GHz_emc_4.266GHz,2.601GHz,1.503GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,1,64,64_words,-1,-1,orig,357,64,2.025892175333333,0.008403799745455819,32.79252600134006,0.10853586323484182,17.023260023109696,0.04182200118549147,12.44745630300502,0.022952438977273427,66.29688503510418,0.3606995895666791,34.47487613541617,0.22334482780038642,25.195535625215246,0.13018624276157095,512.3333333333334,4.041451884327364,9.533243499996994,0.108359783808568,9.573800066088248,0.15094751906381176,0.21441725438352424,0.23517448228573748,9.381124664893528,0.0435233358537345,10.325954666768666,1.1377679000656904,38.71140499904868,0.04839449080639391,38.76928246633421,0.05039604257386911,0.3645674306973508,0.13857070224338236,38.391680999969445,0.04463156191315445,39.982872333591025,0.6332538181347271,12.173580500530079,0.011972401598996374,12.169538117086631,0.03585381163102119,0.11633662915326187,0.04263096685499185,11.975712334484948,0.01784855331316219,12.420455668082772,0.1951199462531417,60.349111333683446,0.015803946690107658,60.512620649509095,0.18737421477471963,0.4726513077002537,0.26331622458018067,60.05594232798709,0.10999958119006502,61.9003110017123,0.7280609171312507,60.349111333683446,best_latency,75.54238100055954,29.892022048196836,20.112246219461312,15.711504612866742,1520.5281845579025,2258.1145184420116,32.663814339806265
cpu_2.601GHz_gpu_1.575GHz_emc_4.266GHz,2.601GHz,1.575GHz,4.266GHz,tensorrt,both_views,"image,wrist_image",2,2,64,64_words,-1,-1,orig,357,64,2.3524728246666666,0.020845337776842846,34.22109437242174,0.2860910805765585,17.347502281202765,0.10187853287935618,13.161174364859178,0.08015458021272891,80.24129940674037,0.16377055883054484,40.79335934871867,0.3941504903895346,30.91071849466267,0.09274901560157024,599.3333333333334,4.041451884327378,9.23554183464148,0.39805878049781945,9.144344849846675,0.20652696446815796,0.3755295879859299,0.5269676284179846,8.00378133135382,1.5871965561467762,9.494616332328102,0.5600188479363337,38.74944650063602,0.30468094891948627,38.67815379999229,0.20570251022991445,0.42044464133560305,0.1598011626337159,38.012307333701756,0.005596011837915774,39.400906335989326,0.5181489255149855,23.600774167183165,0.03266259408751847,23.622104700431617,0.013091043915832675,0.186868191902276,0.04851265845320618,23.344235664505202,0.09556377596053801,24.121424668313313,0.2020200168547386,71.54666399947018,0.7286277898432881,71.44460335027058,0.397409982604698,0.6940219585031652,0.4457127792022796,69.86480366564744,1.0960376131377132,72.44125500680336,0.6820948297054704,71.54666399947018,best_latency,92.97544433320581,37.43326066993334,23.047784807501507,17.42445637526207,2211.5587901198387,3480.37404362777,36.456289973516206
