actual_cpu_hz,actual_emc_hz,actual_gpu_hz,actual_hz,combo_name,cpu_freq_mean_hz,cpu_lock_ok,cpu_soc_mss_energy_j,cpu_soc_mss_power_max_w,cpu_soc_mss_power_mean_w,cpu_soc_mss_power_p95_w,duration_s,emc_lock_ok,fixed_emc_hz,fixed_gpu_hz,gpu_energy_j,gpu_lock_ok,gpu_power_max_w,gpu_power_mean_w,gpu_power_p95_w,lock_ok,mode,nvtx_csv,phase_metrics_csv,phase_summary_csv,raw_csv,requested_cpu_hz,requested_emc_hz,requested_gpu_hz,requested_hz,samples,vin_energy_j,vin_power_max_w,vin_power_mean_w,vin_power_p95_w,_summary_csv,run_dir,get_action_latency_ms
2601000000,4266000000,-1,2601000000,cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz,2601000000.0,1,725.2936332056395,16.14416,11.456035264394831,13.3824,63.335184085,1,4266000000,-1,935.7073719162844,1,35.78848,14.901953254994124,25.9776,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz/telemetry_raw.csv,2601000000,4266000000,-1,2601000000,13616,2774.253115497883,101.686,43.75196430669801,89.369,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.601GHz_gpufreq_default_emcfreq_4.266GHz,62.31345455921052
2430000000,4266000000,-1,2430000000,cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz,2430000000.0,1,685.8556004889247,14.96896,10.891088842357163,12.60032,63.035060258,1,4266000000,-1,815.1960508737714,1,22.8288,12.98882741250374,20.4672,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz/telemetry_raw.csv,2430000000,4266000000,-1,2430000000,13372,2605.8268060749533,100.376,41.35331259347891,88.6229,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.430GHz_gpufreq_default_emcfreq_4.266GHz,62.959707367346944
2160000000,4266000000,-1,2160000000,cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz,2160000000.0,1,663.1513345418142,13.7928,10.33261333133118,12.2016,64.203268631,1,4266000000,-1,812.875459368387,1,22.4352,12.702093934980104,20.4672,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz/telemetry_raw.csv,2160000000,4266000000,-1,2160000000,13319,2591.3013719554133,99.454,40.30130430212479,86.7404,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.160GHz_gpufreq_default_emcfreq_4.266GHz,63.8983144275862
2160000000,3200000000,-1,2160000000,cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz,2160000000.0,1,656.2994494049282,13.776,10.160040594883997,11.8128,64.564121635,1,3200000000,-1,817.8495207159898,1,21.648,12.683861499107673,20.0736,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz/telemetry_raw.csv,2160000000,3200000000,-1,2160000000,13448,2586.8072396842094,92.946,39.92459250446163,80.91120000000001,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.160GHz_gpufreq_default_emcfreq_3.200GHz,70.93147097902097
2160000000,-1,-1,2160000000,cpufreq_2.160GHz_gpufreq_default_emcfreq_default,2160000000.0,1,648.1319627414538,13.39872,9.897374311501968,11.8128,65.723952869,1,-1,-1,812.3683399793072,1,21.648,12.521515599784,20.0736,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.160GHz_gpufreq_default_emcfreq_default/telemetry_raw.csv,2160000000,-1,-1,2160000000,12963,2582.692561433466,91.666,39.353181362338965,80.69059999999999,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.160GHz_gpufreq_default_emcfreq_default,71.21047445774647
2430000000,2750000000,1305000000,2430000000,cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz,2430000000.0,1,573.9050658972188,12.21648,8.33569512455516,9.45024,68.67598661,1,2750000000,1305000000,838.5558953001203,1,31.89456,12.153191577698694,18.4992,1,locked_combo,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz/nvtx_ranges.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz/phase_metrics.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz/phase_summary.csv,thor_measurements/libero10_combo_trt_20260430_090849/cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz/telemetry_raw.csv,2430000000,2750000000,1305000000,2430000000,13488,2577.0730449781477,86.404,37.26065391459075,69.6569,/home/Thor/Workspace/jyjeong/Isaac-GR00T/thor_measurements/libero10_combo_trt_20260430_090849/summary.csv,cpufreq_2.430GHz_gpufreq_1.305GHz_emcfreq_2.750GHz,84.80091300000001
