inference_id,duration_ms,data_processing_ms,vit_ms,llm_ms,backbone_ms,action_head_ms,gpu_energy_j,cpu_energy_j,vin_energy_j
1,191.671293,46.508612,42.343844,37.670567,88.084743,56.904939,4.3750539415661605,2.09895852081712,9.419842847416
2,193.260844,58.53063,35.200888,35.749488,77.936248,56.654512,4.09600573373232,2.02046289934368,8.879870311723
3,196.035169,51.942345,39.298672,40.279115,87.02276,56.936675,4.1919027124848,2.10368681536048,10.227634890902
4,194.012381,50.464969,43.35629,36.966529,87.912818,55.487779,3.84228898850624,1.96998053599176,9.474954150922002
5,204.88034,46.492672,45.206685,48.767317,101.253251,56.997185,4.1665152523152,2.151812389656,9.479809961820001
